# Adafruit SHT4x Trinkey Factory Test
# Found SHT4x sensor. Serial number 0x15750F3E
# Serial number, Temperature in *C, Relative Humidity %, Touch
359993150, 21.14, 12.77, 178
359993150, 21.11, 12.75, 178
359993150, 21.13, 12.78, 179
359993150, 21.13, 12.79, 178
359993150, 21.13, 12.78, 179
359993150, 21.11, 12.77, 178
359993150, 21.11, 12.71, 179
359993150, 21.10, 12.74, 179
359993150, 21.13, 12.76, 179
359993150, 21.16, 12.74, 178
359993150, 21.12, 12.74, 178
359993150, 21.13, 12.76, 178
359993150, 21.14, 12.75, 178
359993150, 21.15, 12.75, 178
359993150, 21.14, 12.69, 178
359993150, 21.12, 12.76, 179
359993150, 21.17, 12.74, 178
